,0,1,2,3,4,5,6,7,8,9,10
165, Sao Tome and Principe,805.91,641.87,99.49,2.32,30.24,4.02,5.31,19.88,0.0,2.78
166, Saudi Arabia,19658.399999999998,19591.44,66.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167, Senegal,281116.88,226633.42,42555.9,9126.56,0.0,0.0,0.0,2775.04,0.0,25.96
168, Serbia,3814.03,3814.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169, Seychelles,80.99,40.69,0.0,32.86,1.06,1.57,4.81,0.0,0.0,0.0
170, Sierra Leone,218720.08000000002,63122.3,154638.04,874.52,0.0,0.0,0.0,63.3,0.0,21.92
171, Singapore,1229.66,1221.02,0.0,8.64,0.0,0.0,0.0,0.0,0.0,0.0
172, Sint Maarten (Dutch part),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173, Slovakia,849.57,849.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174, Slovenia,296.52,296.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175, Solomon Islands,2254.5399999999995,1815.76,380.98,52.14,0.06,4.65,0.95,0.0,0.0,0.0
176, Somalia,335176.86,296544.86,34018.7,905.41,0.0,0.0,0.0,3707.89,0.0,0.0
177, South Africa,1105741.3800000001,987717.26,2506.58,110371.69,551.09,2656.2,1938.56,0.0,0.0,0.0
178, South Sudan,103580.65000000001,0.0,93316.64,8975.11,0.0,0.0,0.0,1288.19,0.0,0.71
179, Spain,31343.41,6956.69,0.0,24386.72,0.0,0.0,0.0,0.0,0.0,0.0
180, Sri Lanka,19899.82,19822.95,0.0,76.87,0.0,0.0,0.0,0.0,0.0,0.0
181, Sudan,100241.68,68933.97,30700.21,382.56,0.0,0.0,0.0,224.07,0.0,0.87
182, Suriname,338.29,256.49,0.42,81.38,0.0,0.0,0.0,0.0,0.0,0.0
183, Swaziland,40996.62,32475.65,5.64,7973.9,47.9,426.14,67.39,0.0,0.0,0.0
184, Sweden,876.38,876.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185, Switzerland,529.07,529.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186, Syrian Arab Republic,2383.85,2383.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
